ID,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9.37935E+17,Hudson 5 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65847,-73.77272,Private room,165,1,6,,0,12,0,0,
9.37944E+17,Whalen 1 Suite at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65908,-73.77326,Private room,,1,2,,0,12,0,0,
9.3796E+17,Whalen 2 Deluxe at The Argus Hotel,526358730,Argus,,TENTH WARD,42.66003,-73.7732,Private room,,1,0,,0,12,0,0,
9.37967E+17,Whalen 3 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65857,-73.7744,Private room,,1,0,,0,12,0,0,
9.3826E+17,Whalen 4 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65893,-73.77448,Private room,,1,0,,0,12,0,0,
9.38266E+17,Knickerbocker 1 The Argus Hotel,526358730,Argus,,TENTH WARD,42.66037,-73.77327,Private room,169,1,0,,0,12,0,0,
9.38272E+17,Knickerbocker 3 The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65868,-73.77333,Private room,,1,0,,0,12,0,0,
9.3828E+17,Historic Carriage House  in Washington Park,526358730,Argus,,TENTH WARD,42.66036,-73.7729,Entire home/apt,313,1,16,,1,12,0,0,
9.38421E+17,"The backroom with TV, Queen bed and extra futon",116935236,Felicisimo,,ELEVENTH WARD,42.6708367,-73.7853116,Private room,50,7,25,,1,5,0,0,
9.38432E+17,The little room with TV and twin bed,116935236,Felicisimo,,THIRTEENTH WARD,42.66974,-73.78611,Private room,39,5,34,,1,5,0,0,
9.38476E+17,Colorful and eclectic apartment,132766782,Kelly,,TWELFTH WARD,42.67398,-73.79126,Entire home/apt,162,3,9,,1,1,0,0,
9.40012E+17,Sunny King bed w private luxurious bath & garden,172539578,David Yisrael,,FIFTEENTH WARD,42.68001107,-73.81705996,Private room,58,3,6,,0,4,0,0,
